k5_pace_minkm,k10_pace_minkm,mh_pace_minkm,has_k5_data,has_k10_data,slowdown_10k_to_hm,slowdown_5k_to_hm,sex_M,sex_F,age_input,age_squared,bmi_input,endurancecat_input,typical_km_week,max_km_week,training_volume_ratio,has_sprint,has_tempo,injury_history,footwear_type,k5_pace_squared,k10_pace_squared,mh_pace_squared,mh_pace_cubed,sex_pace_interaction,age_pace_interaction,bmi_pace_interaction,training_pace_interaction,endurance_pace_interaction,age_bmi_interaction
,,4.711458703637872,0,0,,,0,1,41.0,1681.0,21.861215591430664,2,55.0,67.0,1.2181818181818183,1,1,0,2,,,22.197843116085057,104.58422115126696,0.0,193.16980684915274,102.99821447034995,259.13022870008297,9.422917407275744,896.3098392486572
,,6.12631828415689,0,0,,,0,1,45.0,2025.0,24.09897804260254,2,30.0,40.0,1.3333333333333333,0,0,1,2,,,37.531775718795025,229.9316038229296,0.0,275.68432278706007,147.63800981189135,183.7895485247067,12.25263656831378,1084.4540119171143
,4.653333333333333,4.84259588418849,0,1,1.040672467948816,,0,1,41.0,1681.0,19.29499053955078,2,55.0,65.0,1.1818181818181819,1,1,0,2,,21.65351111111111,23.4507348975593,113.56243229611606,0.0,198.54643125172808,93.43784177228446,266.34277363036693,9.68519176837698,791.094612121582
,5.3,5.664178220168266,0,1,1.0687128717298617,,1,0,39.0,1521.0,22.519697189331055,2,32.0,40.0,1.25,0,0,1,2,,28.09,32.08291490982855,181.72334787176263,5.664178220168266,220.90295058656238,127.55557834459348,181.25370304538453,11.328356440336533,878.2681903839111
,,5.4271833155587155,0,0,,,0,1,36.0,1296.0,25.54157829284668,1,40.0,60.0,1.5,0,1,1,2,,,29.454318740678893,159.85398724056088,0.0,195.37859936011375,138.61882756397415,217.0873326223486,5.4271833155587155,919.4968185424805
,4.658333333333333,5.083540703874867,0,1,1.091278863085839,,1,0,40.0,1600.0,25.247516632080078,2,27.0,60.0,2.2222222222222223,1,1,1,2,,21.700069444444445,25.84238608795258,131.37082156335651,5.083540703874867,203.34162815499468,128.34677847093678,137.25559900462142,10.167081407749734,1009.9006652832031
5.6,,5.593079748785401,1,0,,0.998764240854536,0,1,54.0,2916.0,29.263044357299805,2,50.0,54.0,1.08,0,1,0,2,31.359999999999996,,31.282541076273365,174.96574698425204,0.0,302.02630643441165,163.67054078262245,279.65398743927005,11.186159497570802,1580.2043952941895
,,3.9412252636568317,0,0,,,1,0,42.0,1764.0,22.166107177734375,1,55.0,65.0,1.1818181818181819,1,1,1,2,,,15.533256578886862,61.22006325557259,3.9412252636568317,165.53146107358694,87.36162160581175,216.76738950112573,3.9412252636568317,930.9765014648438
,,4.495003357427815,0,0,,,1,0,47.0,2209.0,22.491348266601562,1,25.0,40.0,1.6,1,0,0,2,,,20.205055183287328,90.82179088589082,4.495003357427815,211.2651577991073,101.09868597145228,112.37508393569537,4.495003357427815,1057.0933685302734
,,5.474582296480626,0,0,,,0,1,25.0,625.0,22.033658981323242,1,40.0,53.0,1.325,0,0,0,2,,,29.971051320939083,164.07898696852536,0.0,136.86455741201564,120.62507938584356,218.98329185922503,5.474582296480626,550.841474533081
,4.5,4.976892996800569,0,1,1.1059762215112374,,1,0,39.0,1521.0,23.7476806640625,2,35.0,50.0,1.4285714285714286,1,1,0,2,,20.25,24.769463901602546,123.2749714263902,4.976892996800569,194.0988268752222,118.18966558722893,174.1912548880199,9.953785993601137,926.1595458984375
